2014-08-11 17:55:42,778 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - OnStopRequested: serverid=df618768-538b-4d8e-8d14-31bf7186fda9
2014-08-11 18:00:33,047 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Disconnected Peers (C) +/sec
2014-08-11 18:00:33,047 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Peers
2014-08-11 18:00:33,064 [1] WARN  Photon.LoadBalancing.LoadShedding.FeedbackControlSystem [(null)] - Could not initialize Feedback Control System from configuration: Invalid configuration file C:\Users\Justin\Projects\mobas-server\deploy\Workload.config. Using default settings... (Could not find file 'C:\Users\Justin\Projects\mobas-server\deploy\Workload.config'.)
2014-08-11 18:00:33,084 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:00:33,105 [1] INFO  Photon.SocketServer.ApplicationBase [(null)] - Application start: AppId=Game1; AppPath=C:\Users\Justin\Projects\mobas-server\deploy\LoadBalancing\GameServer1, Type=Photon.LoadBalancing.GameServer.GameApplication 
2014-08-11 18:00:33,122 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher [(null)] - CounterPublisher started on: 255.255.255.255:40001
2014-08-11 18:00:33,899 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=2), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:00:33,904 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:00:34,037 [8] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:08:23,129 [19] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=2, reason=ClientDisconnect, detail=), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:08:38,127 [22] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:08:38,133 [22] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=4), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:08:38,133 [20] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:08:38,155 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:23:41,773 [21] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=4, reason=ClientDisconnect, detail=), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:23:56,771 [8] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:23:56,807 [26] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=7), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:23:56,808 [8] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:23:56,888 [23] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:47:54,093 [30] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=7, reason=ClientDisconnect, detail=), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:48:09,095 [13] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:48:09,116 [23] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=8), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:48:09,117 [23] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:48:09,142 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 19:11:13,773 [26] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=8, reason=ClientDisconnect, detail=), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 19:11:28,783 [13] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 19:11:28,816 [35] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=11), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 19:11:28,817 [35] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 19:11:28,892 [9] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 19:11:37,595 [36] DEBUG Photon.LoadBalancing.GameServer.GameApplication [(null)] - CreatePeer for 
2014-08-11 19:11:37,597 [36] DEBUG Photon.LoadBalancing.GameServer.GameApplication [(null)] - incoming game peer at 192.168.1.7:5056 from 192.168.1.7:62117
2014-08-11 19:11:37,762 [13] DEBUG Photon.LoadBalancing.GameServer.GameClientPeer [(null)] - OnOperationRequest: conId=7, opCode=230
2014-08-11 19:11:37,810 [36] DEBUG Photon.LoadBalancing.GameServer.GameClientPeer [(null)] - OnOperationRequest: conId=7, opCode=226
2014-08-11 19:11:54,263 [12] DEBUG Photon.LoadBalancing.GameServer.GameClientPeer [(null)] - OnOperationRequest: conId=7, opCode=254
2014-08-11 19:11:54,300 [26] DEBUG Photon.LoadBalancing.GameServer.GameClientPeer [(null)] - OnDisconnect: conId=7, reason=ClientDisconnect, detail=
2014-08-11 19:46:50,622 [30] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=11, reason=ClientDisconnect, detail=), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 19:47:05,621 [24] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 19:47:05,653 [24] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=13), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 19:47:05,654 [24] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 19:47:05,723 [27] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:26:33,017 [11] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=13, reason=ClientDisconnect, detail=), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:26:48,024 [23] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:26:48,059 [29] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=15), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:26:48,074 [29] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:26:48,134 [31] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:29:34,796 [24] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=15, reason=ClientDisconnect, detail=), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:29:49,799 [20] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:29:49,832 [32] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=16), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:29:49,833 [32] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:29:49,903 [27] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:31:35,315 [36] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=16, reason=ClientDisconnect, detail=), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:31:50,324 [13] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:31:50,358 [11] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=18), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:31:50,358 [11] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 21:31:50,428 [31] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-12 21:04:39,347 [23] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=18, reason=ClientDisconnect, detail=), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-12 21:04:54,360 [13] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-12 21:04:54,393 [17] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=21), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-12 21:04:54,394 [17] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-12 21:04:54,461 [23] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-12 21:04:55,457 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - OnStopRequested: serverid=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-12 21:04:55,460 [1] INFO  Photon.SocketServer.ApplicationBase [(null)] - Application is stopping: AppId=Game1
2014-08-12 21:04:55,461 [25] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=21, reason=ManagedDisconnect, detail=), serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-12 21:04:55,490 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - TearDown: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-12 21:04:55,491 [1] INFO  Photon.SocketServer.ApplicationBase [(null)] - Application stop: AppId=Game1
2014-08-12 21:05:18,181 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Setup: serverId=0dcb1507-74d7-4561-8646-10d99132d3e0
2014-08-12 21:05:19,479 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Business Logic Queue
2014-08-12 21:05:19,480 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Queue
2014-08-12 21:05:19,480 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter bytes in/sec
2014-08-12 21:05:19,481 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter bytes out/sec
2014-08-12 21:05:19,482 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Threads Processing
2014-08-12 21:05:19,483 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Threads Active
2014-08-12 21:05:19,484 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Time Spent In Server: In (ms)
2014-08-12 21:05:19,485 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Time Spent In Server: Out (ms)
2014-08-12 21:05:19,486 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Disconnected Peers +/sec
2014-08-12 21:05:19,486 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Disconnected Peers (C) +/sec
2014-08-12 21:05:19,487 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Peers
2014-08-12 21:05:19,488 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Disconnected Peers +/sec
2014-08-12 21:05:19,488 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Disconnected Peers (C) +/sec
2014-08-12 21:05:19,489 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Peers
2014-08-12 21:05:19,506 [1] WARN  Photon.LoadBalancing.LoadShedding.FeedbackControlSystem [(null)] - Could not initialize Feedback Control System from configuration: Invalid configuration file C:\Users\Justin\Projects\mobas-server\deploy\Workload.config. Using default settings... (Could not find file 'C:\Users\Justin\Projects\mobas-server\deploy\Workload.config'.)
2014-08-12 21:05:19,532 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=0dcb1507-74d7-4561-8646-10d99132d3e0
2014-08-12 21:05:19,558 [1] INFO  Photon.SocketServer.ApplicationBase [(null)] - Application start: AppId=Game1; AppPath=C:\Users\Justin\Projects\mobas-server\deploy\LoadBalancing\GameServer1, Type=Photon.LoadBalancing.GameServer.GameApplication 
2014-08-12 21:05:19,579 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher [(null)] - CounterPublisher started on: 255.255.255.255:40001
2014-08-12 21:05:20,513 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=2), serverId=0dcb1507-74d7-4561-8646-10d99132d3e0
2014-08-12 21:05:20,521 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID 0dcb1507-74d7-4561-8646-10d99132d3e0
2014-08-12 21:05:20,662 [11] INFO  Photon.LoadBalancing.LoadShedding.FeedbackController [(null)] - Transit CpuUsage from Lowest to Low with input 43
2014-08-12 21:05:20,666 [11] INFO  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - FeedbackLevel changed: old=Lowest, new=Low
2014-08-12 21:05:20,676 [6] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=0dcb1507-74d7-4561-8646-10d99132d3e0
2014-08-12 21:05:37,879 [14] INFO  Photon.LoadBalancing.LoadShedding.FeedbackController [(null)] - Transit CpuUsage from Low to Lowest with input 20
2014-08-12 21:05:37,892 [14] INFO  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - FeedbackLevel changed: old=Low, new=Lowest
2014-08-12 22:02:27,999 [31] INFO  Photon.LoadBalancing.LoadShedding.FeedbackController [(null)] - Transit CpuUsage from Lowest to Low with input 35
2014-08-12 22:02:28,010 [31] INFO  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - FeedbackLevel changed: old=Lowest, new=Low
2014-08-12 22:22:45,884 [6] INFO  Photon.LoadBalancing.LoadShedding.FeedbackController [(null)] - Transit CpuUsage from Low to Normal with input 50
2014-08-12 22:22:45,885 [6] INFO  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - FeedbackLevel changed: old=Low, new=Normal
2014-08-12 22:41:19,418 [29] INFO  Photon.LoadBalancing.LoadShedding.FeedbackController [(null)] - Transit CpuUsage from Normal to Low with input 35
2014-08-12 22:41:19,419 [29] INFO  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - FeedbackLevel changed: old=Normal, new=Low
2014-08-12 23:07:06,806 [27] INFO  Photon.LoadBalancing.LoadShedding.FeedbackController [(null)] - Transit CpuUsage from Low to Lowest with input 20
2014-08-12 23:07:06,807 [27] INFO  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - FeedbackLevel changed: old=Low, new=Lowest
2014-08-13 03:03:38,935 [7] INFO  Photon.LoadBalancing.LoadShedding.FeedbackController [(null)] - Transit CpuUsage from Lowest to Low with input 35
2014-08-13 03:03:38,936 [7] INFO  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - FeedbackLevel changed: old=Lowest, new=Low
2014-08-13 03:12:05,938 [20] INFO  Photon.LoadBalancing.LoadShedding.FeedbackController [(null)] - Transit CpuUsage from Low to Lowest with input 20
2014-08-13 03:12:05,939 [20] INFO  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - FeedbackLevel changed: old=Low, new=Lowest
2014-08-13 03:23:07,073 [35] INFO  Photon.LoadBalancing.LoadShedding.FeedbackController [(null)] - Transit CpuUsage from Lowest to Low with input 35
2014-08-13 03:23:07,073 [35] INFO  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - FeedbackLevel changed: old=Lowest, new=Low
2014-08-13 03:26:44,069 [7] INFO  Photon.LoadBalancing.LoadShedding.FeedbackController [(null)] - Transit CpuUsage from Low to Lowest with input 20
2014-08-13 03:26:44,070 [7] INFO  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - FeedbackLevel changed: old=Low, new=Lowest
2014-08-13 19:21:51,125 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Setup: serverId=dd4de142-103d-428f-a2e0-7b87c9e9b7b1
2014-08-13 19:21:52,398 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Business Logic Queue
2014-08-13 19:21:52,399 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Queue
2014-08-13 19:21:52,400 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter bytes in/sec
2014-08-13 19:21:52,400 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter bytes out/sec
2014-08-13 19:21:52,401 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Threads Processing
2014-08-13 19:21:52,402 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Threads Active
2014-08-13 19:21:52,403 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Time Spent In Server: In (ms)
2014-08-13 19:21:52,405 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Time Spent In Server: Out (ms)
2014-08-13 19:21:52,405 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Disconnected Peers +/sec
2014-08-13 19:21:52,406 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Disconnected Peers (C) +/sec
2014-08-13 19:21:52,406 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Peers
2014-08-13 19:21:52,407 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Disconnected Peers +/sec
2014-08-13 19:21:52,408 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Disconnected Peers (C) +/sec
2014-08-13 19:21:52,410 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Peers
2014-08-13 19:21:52,426 [1] WARN  Photon.LoadBalancing.LoadShedding.FeedbackControlSystem [(null)] - Could not initialize Feedback Control System from configuration: Invalid configuration file C:\Users\Justin\Projects\mobas-server\deploy\Workload.config. Using default settings... (Could not find file 'C:\Users\Justin\Projects\mobas-server\deploy\Workload.config'.)
2014-08-13 19:21:52,448 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=dd4de142-103d-428f-a2e0-7b87c9e9b7b1
2014-08-13 19:21:52,472 [1] INFO  Photon.SocketServer.ApplicationBase [(null)] - Application start: AppId=Game1; AppPath=C:\Users\Justin\Projects\mobas-server\deploy\LoadBalancing\GameServer1, Type=Photon.LoadBalancing.GameServer.GameApplication 
2014-08-13 19:21:52,503 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher [(null)] - CounterPublisher started on: 255.255.255.255:40001
2014-08-13 19:21:53,377 [11] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master at 127.0.0.1:4520 established (id=2), serverId=dd4de142-103d-428f-a2e0-7b87c9e9b7b1
2014-08-13 19:21:53,382 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Registering game server with address 192.168.1.7, TCP 4531, UDP 5056, WebSocket 9091, ServerID dd4de142-103d-428f-a2e0-7b87c9e9b7b1
2014-08-13 19:21:53,511 [15] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - Successfully registered at master server: serverId=dd4de142-103d-428f-a2e0-7b87c9e9b7b1
2014-08-13 19:23:15,132 [19] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=2, reason=ClientDisconnect, detail=), serverId=dd4de142-103d-428f-a2e0-7b87c9e9b7b1
2014-08-13 19:23:30,132 [21] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Connecting to master at 127.0.0.1:4520, serverId=dd4de142-103d-428f-a2e0-7b87c9e9b7b1
